"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"723","98","4","43.723554301833566","0","34","4","4.795486600846263","0","14","4","4.372355430183357","0","24","4","5.077574047954866","678","117","4","68.68829337094499","516","102","4","43.58251057827927","665","113","4","66.85472496473906","679","109","4","59.943582510578274","565","103","4","47.672778561354015","700","91","4","63.32863187588153"
,"651","99","5","47.53173483779972","0","34","5","4.372355430183357","0","14","5","4.231311706629055","0","24","5","4.9365303244005645","643","118","5","70.80394922425953","438","103","5","46.82651622002821","564","114","5","70.38081805359661","605","110","5","63.469675599435824","492","104","5","50.634696755994355","623","92","5","65.30324400564174"
,"706","99","5","49.50634696755994","0","34","5","4.372355430183357","0","14","5","4.231311706629055","0","24","5","4.9365303244005645","669","118","5","72.91960507757405","563","103","5","50.07052186177715","656","114","5","73.62482369534555","682","110","5","65.58533145275035","615","104","5","55.00705218617772","685","92","5","68.4062059238364"
,"622","120","6","51.76304654442877","0","46","6","4.090267983074753","0","20","6","4.231311706629055","0","37","6","4.9365303244005645","623","140","6","75.45839210155148","483","127","6","52.186177715091674","555","136","6","76.16361071932299","596","129","6","67.55994358251057","529","124","6","58.110014104372354","587","107","6","71.08603667136812"
,"688","121","7","55.289139633286325","0","46","7","4.090267983074753","0","20","7","4.231311706629055","0","37","7","4.9365303244005645","650","141","7","77.99717912552892","618","128","7","55.712270803949224","666","137","7","78.84344146685473","678","130","7","70.23977433004231","630","125","7","61.918194640338506","659","108","7","73.34273624823695"
,"609","121","7","57.40479548660085","0","46","7","4.090267983074753","0","20","7","4.090267983074753","0","37","7","4.9365303244005645","607","141","7","80.11283497884344","531","128","7","58.81523272214386","548","137","7","80.81805359661494","569","130","7","72.63751763046544","545","125","7","64.31593794076164","561","108","7","74.89421720733426"
,"687","131","8","60.08462623413258","0","46","8","4.090267983074753","0","20","8","4.090267983074753","0","37","8","4.795486600846263","635","149","8","81.24118476727786","645","140","8","62.482369534555716","612","150","8","82.22849083215797","647","153","8","75.45839210155148","642","127","8","66.71368124118476","643","117","8","77.29196050775741"
,"580","132","9","63.18758815232722","0","46","9","3.9492242595204514","0","20","9","3.9492242595204514","0","37","9","4.795486600846263","573","150","9","82.51057827926658","555","141","9","65.72637517630466","516","151","9","82.22849083215797","543","154","9","77.574047954866","563","128","9","68.9703808180536","559","118","9","78.70239774330042"
,"660","132","9","65.16220028208744","0","46","9","3.80818053596615","0","20","9","3.80818053596615","0","37","9","4.513399153737659","625","150","9","83.63892806770099","651","141","9","68.5472496473907","624","151","9","84.0620592383639","637","154","9","79.83074753173483","660","128","9","71.93229901269393","680","118","9","79.54866008462623"
,"538","145","10","67.55994358251057","0","46","10","3.80818053596615","0","20","10","3.80818053596615","0","37","10","4.513399153737659","550","161","10","84.9083215796897","553","149","10","70.94499294781383","488","155","10","85.47249647390692","534","164","10","81.24118476727786","567","137","10","74.33004231311706","579","125","9","80.25387870239774"
