"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"0","0","18","2.8208744710860367","0","0","18","3.5260930888575457","695","104","18","87.02397743300423","0","0","17","2.538787023977433","0","0","18","2.9619181946403383","713","97","17","76.3046544428773","668","107","17","87.72919605077574","707","85","18","83.77997179125529","0","0","16","3.9492242595204514","693","86","17","86.74188998589563"
,"0","0","19","2.538787023977433","0","0","19","3.5260930888575457","619","89","19","87.02397743300423","0","0","18","2.538787023977433","0","0","19","2.8208744710860367","626","86","18","76.8688293370945","626","100","18","87.72919605077574","705","82","19","83.21579689703809","0","0","17","3.5260930888575457","674","75","18","86.17771509167842"
,"0","0","19","2.3977433004231314","0","0","19","3.385049365303244","725","82","19","87.02397743300423","0","0","18","2.538787023977433","0","0","19","2.8208744710860367","714","81","18","76.5867418899859","674","95","18","87.30606488011283","706","76","19","84.0620592383639","0","0","17","3.385049365303244","701","69","18","85.049365303244"
,"0","0","22","2.2566995768688294","0","0","22","3.244005641748942","655","86","21","86.74188998589563","0","0","19","2.538787023977433","0","0","21","2.6798307475317347","654","86","21","77.29196050775741","623","104","18","87.44710860366713","704","84","20","84.4851904090268","0","0","20","3.244005641748942","679","77","21","84.6262341325811"
,"0","0","23","1.9746121297602257","0","0","23","2.9619181946403383","733","75","22","86.74188998589563","0","0","20","2.3977433004231314","0","0","22","2.3977433004231314","727","76","22","77.71509167842031","664","94","19","88.01128349788434","690","82","21","84.3441466854725","0","0","21","2.9619181946403383","705","76","22","84.20310296191819"
,"0","0","23","1.9746121297602257","0","0","23","2.6798307475317347","665","69","22","86.74188998589563","0","0","20","2.3977433004231314","0","0","22","1.8335684062059237","670","68","22","76.3046544428773","626","92","19","87.87023977433005","703","79","21","83.9210155148096","0","0","21","2.8208744710860367","683","74","22","84.3441466854725"
,"0","0","26","1.9746121297602257","0","0","25","2.538787023977433","727","76","25","86.03667136812412","0","0","23","2.3977433004231314","0","0","25","1.5514809590973202","741","72","24","76.3046544428773","663","102","22","88.15232722143864","697","95","24","84.20310296191819","0","0","24","2.8208744710860367","695","78","24","84.20310296191819"
,"0","0","27","1.9746121297602257","0","0","26","2.3977433004231314","661","65","26","85.61354019746122","0","0","24","2.2566995768688294","0","0","26","1.5514809590973202","675","67","25","76.4456981664316","607","98","23","88.01128349788434","671","91","25","84.4851904090268","0","0","25","2.6798307475317347","658","78","25","83.63892806770099"
,"0","0","27","1.9746121297602257","0","0","26","1.9746121297602257","706","58","26","85.1904090267983","0","0","24","2.1156558533145273","0","0","26","1.4104372355430184","752","66","25","76.4456981664316","678","95","23","87.58815232722144","671","89","25","83.63892806770099","0","0","25","2.6798307475317347","690","78","25","82.93370944992948"
,"0","0","29","1.8335684062059237","0","0","29","1.8335684062059237","646","69","27","85.61354019746122","0","0","27","1.9746121297602257","0","0","28","1.2693935119887165","696","77","28","76.7277856135402","642","100","25","87.58815232722144","673","105","28","83.21579689703809","0","0","28","2.538787023977433","669","84","28","83.07475317348378"
,"0","0","30","1.692524682651622","0","0","30","1.8335684062059237","735","67","28","86.03667136812412","0","0","28","1.9746121297602257","0","0","29","0.846262341325811","746","76","29","77.1509167842031","692","83","26","87.16502115655854","687","104","29","82.36953455571228","0","0","29","2.2566995768688294","689","71","29","82.51057827926658"
,"0","0","30","1.4104372355430184","0","0","30","1.8335684062059237","681","66","28","85.89562764456981","0","0","28","1.8335684062059237","0","0","29","0.846262341325811","661","74","29","76.8688293370945","657","77","26","86.60084626234132","682","103","29","82.22849083215797","0","0","29","2.1156558533145273","692","70","29","81.66431593794076"
